,Player,Player_url,Duration_2019,Type_2019,Season
122,Ainsley Maitland-Niles,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,111,"Ill , Knee Injury , Hairline crack in calfbone , Ill ,",2019
123,Mesut Özil,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,61,"Unknown Injury , Fitness , Back trouble , Influenza ,",2019
124,Emile Smith Rowe,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,231,"Groin Surgery , Shoulder Injury , Head Injury , Groin Injury , Adductor problems ,",2019
125,Reiss Nelson,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,24,"Thigh Problems , Thigh Problems ,",2019
126,Pierre-Emerick Aubameyang,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,35,"Head Injury , Heart Condition , Corona virus ,",2019
127,Alexandre Lacazette,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720,19,"Corona virus ,",2019
128,Jonas Lössl,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,32,"Unknown Injury , Calf Strain ,",2019
129,Michael Keane,https://www.transfermarkt.com/michael-keane/profil/spieler/118534,36,"Neck Injury , Ill ,",2019
130,Yerry Mina,https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,158,"Fitness , Ankle Injury , Hamstring Injury ,",2019
131,Mason Holgate,https://www.transfermarkt.com/mason-holgate/profil/spieler/348623,17,"Knee Injury ,",2019
132,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,20,"Shoulder Injury , Ankle Injury , Shoulder Injury ,",2019
133,Djibril Sidibé,https://www.transfermarkt.com/djibril-sidibe/profil/spieler/161869,65,"Corona virus , Hamstring Injury ,",2019
134,Seamus Coleman,https://www.transfermarkt.com/seamus-coleman/profil/spieler/68390,106,"Knee Injury , Hamstring Injury , Muscle Injury , Muscle Injury ,",2019
135,Jean-Philippe Gbamin,https://www.transfermarkt.com/jean-philippe-gbamin/profil/spieler/182894,22,"Unknown Injury , Fitness ,",2019
136,Morgan Schneiderlin,https://www.transfermarkt.com/morgan-schneiderlin/profil/spieler/56818,58,"Calf Injury , Calf Injury , Knee Injury ,",2019
137,André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,98,"Calf Injury , Bruise , Bruise ,",2019
138,Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,75,"Hamstring Injury , Shoulder Injury , Hamstring Injury ,",2019
139,Beni Baningime,https://www.transfermarkt.com/beni-baningime/profil/spieler/399369,105,"Hamstring Injury ,",2019
140,Alex Iwobi,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,25,"Hamstring Injury , Hamstring Injury ,",2019
141,Bernard,https://www.transfermarkt.com/bernard/profil/spieler/175169,35,"Knee Injury , Knee Injury ,",2019
142,Theo Walcott,https://www.transfermarkt.com/theo-walcott/profil/spieler/33713,17,"Calf Strain , Hamstring Injury ,",2019
143,Richarlison,https://www.transfermarkt.com/richarlison/profil/spieler/378710,46,"Hamstring Injury , Calf Injury , Calf Injury , Knee Injury , Bruise ,",2019
144,Moise Kean,https://www.transfermarkt.com/moise-kean/profil/spieler/364135,8,"Knock , Muscular problems ,",2019
145,Dominic Calvert-Lewin,https://www.transfermarkt.com/dominic-calvert-lewin/profil/spieler/306024,26,"Cheekbone Fracture ,",2019
146,Cenk Tosun,https://www.transfermarkt.com/cenk-tosun/profil/spieler/45671,61,"Torn Muscle ,",2019
147,Danny Ward,https://www.transfermarkt.com/danny-ward/profil/spieler/203026,8,"Knee Surgery , Knock ,",2019
148,Caglar Söyüncü,https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141,32,"Muscle Injury ,",2019
149,Jonny Evans,https://www.transfermarkt.com/jonny-evans/profil/spieler/42412,31,"Calf Injury , Calf Problems , Hamstring Injury , Foot Injury ,",2019
150,Filip Benkovic,https://www.transfermarkt.com/filip-benkovic/profil/spieler/293168,49,"Chest injury ,",2019
151,Daniel Amartey,https://www.transfermarkt.com/daniel-amartey/profil/spieler/214056,330,"Hamstring Injury ,",2019
152,Wes Morgan,https://www.transfermarkt.com/wes-morgan/profil/spieler/10003,15,"Back Injury ,",2019
153,Ben Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,24,"Hamstring Injury , Hamstring Injury ,",2019
154,Wilfred Ndidi,https://www.transfermarkt.com/wilfred-ndidi/profil/spieler/274839,3,"Knee Injury ,",2019
155,Nampalys Mendy,https://www.transfermarkt.com/nampalys-mendy/profil/spieler/111051,38,"groin strain , groin strain ,",2019
156,Bartosz Kapustka,https://www.transfermarkt.com/bartosz-kapustka/profil/spieler/246579,274,"Edema in the knee ,",2019
157,Dennis Praet,https://www.transfermarkt.com/dennis-praet/profil/spieler/129588,31,"Unknown Injury ,",2019
158,Matty James,https://www.transfermarkt.com/matty-james/profil/spieler/73522,660,"Achilles tendon problems , Achilles tendon problems ,",2019
159,Marc Albrighton,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,140,"Knock , Hamstring Injury ,",2019
160,James Maddison,https://www.transfermarkt.com/james-maddison/profil/spieler/294057,30,"Knee Injury , Knee Injury ,",2019
161,Demarai Gray,https://www.transfermarkt.com/demarai-gray/profil/spieler/292417,62,"Ankle Injury , Ankle Injury ,",2019
