,Player,Player_url,Duration_2021,Type_2021,Season
173,Mahmoud Trezeguet,https://www.transfermarkt.com/mahmoud-trezeguet/profil/spieler/234189,289,"Knee Surgery , Head Injury ,",2021
174,Emiliano Buendía,https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247,29,"Shinbone injury ,",2021
175,Bertrand Traoré,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,23,"Bruised Rib , Ill ,",2021
176,Danny Ings,https://www.transfermarkt.com/danny-ings/profil/spieler/134294,122,"Knock , Hamstring Injury , Knee Injury , Knock , Hamstring Injury , Knee Injury ,",2021
177,Wesley Moraes,https://www.transfermarkt.com/wesley-moraes/profil/spieler/381362,112,"Knee Injury ,",2021
178,Keinan Davis,https://www.transfermarkt.com/keinan-davis/profil/spieler/412660,37,"Ankle Injury ,",2021
179,Jordan Pickford,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164,21,"Chest injury ,",2021
180,Asmir Begovic,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,4,"Thigh Problems ,",2021
181,Yerry Mina,https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,83,"Calf Injury , Muscle Injury ,",2021
182,Ben Godfrey,https://www.transfermarkt.com/ben-godfrey/profil/spieler/343475,11,"Hamstring Injury ,",2021
183,Mason Holgate,https://www.transfermarkt.com/mason-holgate/profil/spieler/348623,49,"Ankle Injury ,",2021
184,Jarrad Branthwaite,https://www.transfermarkt.com/jarrad-branthwaite/profil/spieler/661053,46,"Ankle Injury ,",2021
186,Vitaliy Mykolenko,https://www.transfermarkt.com/vitaliy-mykolenko/profil/spieler/404842,34,"Hand Injury , Corona virus , Unknown Injury ,",2021
187,Niels Nkounkou,https://www.transfermarkt.com/niels-nkounkou/profil/spieler/591193,14,"Hamstring Injury ,",2021
188,Nathan Patterson,https://www.transfermarkt.com/nathan-patterson/profil/spieler/424015,12,"Quarantine , Quarantine ,",2021
189,Jonjoe Kenny,https://www.transfermarkt.com/jonjoe-kenny/profil/spieler/258883,97,"Knee Problems , Ankle Injury , Knee Problems ,",2021
190,Seamus Coleman,https://www.transfermarkt.com/seamus-coleman/profil/spieler/68390,118,"Muscle Injury , Muscle Injury , Muscle Injury , Muscle Injury ,",2021
191,Allan,https://www.transfermarkt.com/allan/profil/spieler/126422,72,"Muscle Injury , Groin Injury ,",2021
192,Jean-Philippe Gbamin,https://www.transfermarkt.com/jean-philippe-gbamin/profil/spieler/182894,162,"Medial Collateral Ligament Injury , Medial Collateral Ligament Injury ,",2021
