,Player,Player_url,Duration,Type,Season
183,Junior Stanislas,https://www.transfermarkt.com/junior-stanislas/profil/spieler/87672,360.0,"Knee Injury , Groin Injury , groin strain , Knee Injury , Groin Injury , groin strain ,",2018
184,Marc Pugh,https://www.transfermarkt.com/marc-pugh/profil/spieler/36939,130.0,"Hamstring Injury ,",2018
185,Joshua King,https://www.transfermarkt.com/joshua-king/profil/spieler/91059,15.0,"Thigh Problems , Ill ,",2018
186,Lys Mousset,https://www.transfermarkt.com/lys-mousset/profil/spieler/291422,21.0,"Ill ,",2018
187,Jermain Defoe,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875,66.0,"Ankle Injury ,",2018
190,Jannik Vestergaard,https://www.transfermarkt.com/jannik-vestergaard/profil/spieler/99331,25.0,"Ankle Injury , Ill ,",2018
191,Maya Yoshida,https://www.transfermarkt.com/maya-yoshida/profil/spieler/81789,37.0,"Knee Injury , Hamstring Injury ,",2018
192,Ryan Bertrand,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,17.0,"Hamstring Injury ,",2018
193,Matt Targett,https://www.transfermarkt.com/matt-targett/profil/spieler/250478,27.0,"Ankle problems ,",2018
194,Cédric Soares,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,28.0,"Ankle Injury ,",2018
195,Mario Lemina,https://www.transfermarkt.com/mario-lemina/profil/spieler/170934,24.0,"Ankle Injury ,",2018
196,Jordy Clasie,https://www.transfermarkt.com/jordy-clasie/profil/spieler/104223,31.0,"Knee Injury ,",2018
197,Stuart Armstrong,https://www.transfermarkt.com/stuart-armstrong/profil/spieler/130765,98.0,"Knock , Knee Injury , Knee Injury , Knee Injury ,",2018
198,Steven Davis,https://www.transfermarkt.com/steven-davis/profil/spieler/28973,89.0,"Achilles tendon problems , Achilles tendon problems ,",2018
199,Mohamed Elyounoussi,https://www.transfermarkt.com/mohamed-elyounoussi/profil/spieler/186644,7.0,"Unknown Injury , Ill ,",2018
200,Charlie Austin,https://www.transfermarkt.com/charlie-austin/profil/spieler/129627,98.0,"Hamstring Injury ,",2018
201,Guido Carrillo,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672,25.0,"Unknown Injury , Foot Injury ,",2018
202,Phil Ofosu-Ayeh,https://www.transfermarkt.com/phil-ofosu-ayeh/profil/spieler/133858,190.0,"Tendonitis ,",2018
203,João Moutinho,https://www.transfermarkt.com/joao-moutinho/profil/spieler/29364,14.0,"Knee Injury , Knee Injury ,",2018
204,Raúl Jiménez,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040,14.0,"Inflamed ligaments of the knee ,",2018
205,Niall Ennis,https://www.transfermarkt.com/niall-ennis/profil/spieler/369171,322.0,"Knee Injury , Knee Injury ,",2018
